대분류	중분류	소분류	상태	워크샵필요	세션	데드라인	우선순위	비고
1. 사전 진입	1.1 온보딩	스플래시 화면	미완료	X	-	-	P2	실무 완성도 작업
1. 사전 진입	1.1 온보딩	가치 제안 슬라이드 (3장)	미완료	X	-	-	P2	실무 콘텐츠 작업
1. 사전 진입	1.1 온보딩	초대 링크 진입 분기 처리	미완료	O	1차	2026-02-27	P0	UX 방향 결정 필요
1. 사전 진입	1.1 온보딩	퀵 서베이 (3문항)	미완료	O	1차	2026-02-27	P0	질문 설계 결정 필요
1. 사전 진입	1.2 계정/인증	소셜 로그인 (Apple/Google/카카오)	미완료	O	1차	2026-02-27	P0	우선순위/노출순서 결정
1. 사전 진입	1.2 계정/인증	이메일 가입	미완료	X	-	-	P2	실무 완성도 작업
1. 사전 진입	1.2 계정/인증	연락처 동기화 요청	미완료	O	1차	2026-02-27	P0	UX/권한 전략 결정
1. 사전 진입	1.2 계정/인증	퍼미션 요청 (알림/카메라/사진)	미완료	O	1차	2026-02-27	P0	Just-in-Time 전략 결정
1. 사전 진입	1.3 첫 챌린지 추천	개인화 추천 로직	미완료	O	1차	2026-02-27	P0	추천 기준 정책 결정
1. 사전 진입	1.3 첫 챌린지 추천	무료 챌린지 우선 노출	미완료	O	1차	2026-02-27	P0	노출 정책 결정
1. 사전 진입	1.3 첫 챌린지 추천	"친구와 함께" 유도 UI	미완료	O	1차	2026-02-27	P1	유도 전략 결정
2. 홈/탐색	2.1 홈탭	챌린지 추천 섹션	완료	-	-	-	-	간소화 완료
2. 홈/탐색	2.1 홈탭	개인화 추천 피드	완료	-	-	-	-	간소화 완료
2. 홈/탐색	2.1 홈탭	진행중 챌린지 빠른 접근	완료	-	-	-	-	간소화 완료
2. 홈/탐색	2.2 마켓/검색	챌린지 검색	미완료	X	-	-	P2	실무 구현 작업
2. 홈/탐색	2.2 마켓/검색	카테고리 필터	미완료	X	-	-	P2	실무 구현 작업
2. 홈/탐색	2.2 마켓/검색	정렬 옵션	미완료	X	-	-	P2	실무 구현 작업
2. 홈/탐색	2.2 마켓/검색	크리에이터 검색	미완료	X	-	-	P2	실무 구현 작업
2. 홈/탐색	2.3 챌린지 상세	챌린지 정보	완료	-	-	-	-	간소화 완료
2. 홈/탐색	2.3 챌린지 상세	일일 할 일 미리보기	완료	-	-	-	-	간소화 완료
2. 홈/탐색	2.3 챌린지 상세	완주율/참여자 수	완료	-	-	-	-	간소화 완료
2. 홈/탐색	2.3 챌린지 상세	참여 CTA	완료	-	-	-	-	간소화 완료
2. 홈/탐색	2.3 챌린지 상세	리뷰/후기 섹션	미완료	X	-	-	P2	실무 구현 작업
3. 챌린지 참여	3.1 챌린지 방 생성	시작일 설정	완료	-	-	-	-	초대 플로우 완료
3. 챌린지 참여	3.1 챌린지 방 생성	멤버 초대	완료	-	-	-	-	초대 플로우 완료
3. 챌린지 참여	3.1 챌린지 방 생성	결제 방식 선택	완료	-	-	-	-	초대 플로우 완료
3. 챌린지 참여	3.1 챌린지 방 생성	초대 링크 생성/공유	완료	-	-	-	-	초대 플로우 완료
3. 챌린지 참여	3.2 참여 확인/결제	체험 가능 여부 분기	미완료	O	3차	2026-03-27	P1	결제 정책 UX 결정
3. 챌린지 참여	3.2 참여 확인/결제	참여 확인 팝업 UX	미완료	O	3차	2026-03-27	P1	팝업 케이스 정의
3. 챌린지 참여	3.2 참여 확인/결제	2일 무료 체험 플로우	미완료	O	3차	2026-03-27	P1	체험 UX 결정
3. 챌린지 참여	3.2 참여 확인/결제	결제 요청 화면	미완료	O	3차	2026-03-27	P1	결제 UX 결정
3. 챌린지 참여	3.2 참여 확인/결제	결제 성공/실패 처리	미완료	X	-	-	P2	실무 구현 작업
3. 챌린지 참여	3.2 참여 확인/결제	가입 축하 크레딧 적용	미완료	O	3차	2026-03-27	P1	크레딧 정책 UX
3. 챌린지 참여	3.3 대기 기간	D-day 카운트다운	미완료	X	-	-	P2	실무 구현 작업
3. 챌린지 참여	3.3 대기 기간	한줄 다짐 작성	미완료	O	2차	2026-03-13	P2	UX 방향 결정
3. 챌린지 참여	3.3 대기 기간	알람 시간/내용 설정	미완료	O	4차	2026-04-10	P2	알람 정책 결정
4. 챌린지 방	4.1 인증 탭	오늘의 할 일 표시	미완료	O	2차	2026-03-13	P0	정보 구조 결정
4. 챌린지 방	4.1 인증 탭	Day 진행 표시	미완료	X	-	-	P1	실무 구현 작업
4. 챌린지 방	4.1 인증 탭	그룹 완주율 표시	미완료	O	2차	2026-03-13	P0	정보 노출 결정
4. 챌린지 방	4.1 인증 탭	인증 피드 구조	미완료	O	1차	2026-02-27	P0	피드 구조 결정
4. 챌린지 방	4.1 인증 탭	인증 작성 UI	미완료	O	1차	2026-02-27	P0	인증 UX 결정
4. 챌린지 방	4.1 인증 탭	응원 보내기 (넛지)	미완료	O	2차	2026-03-13	P1	넛지 정책 결정
4. 챌린지 방	4.1 인증 탭	크리에이터 카드	미완료	O	2차	2026-03-13	P1	카드 UX 결정
4. 챌린지 방	4.2 채팅 탭	멤버 간 대화	미완료	O	3차	2026-03-27	P1	채팅 구조 결정
4. 챌린지 방	4.2 채팅 탭	시스템 메시지	미완료	O	3차	2026-03-27	P1	메시지 유형 정의
4. 챌린지 방	4.2 채팅 탭	공지 등록 (방장)	미완료	X	-	-	P2	실무 구현 작업
4. 챌린지 방	4.3 멤버 탭	멤버 목록	미완료	O	2차	2026-03-13	P1	정보 구조 결정
4. 챌린지 방	4.3 멤버 탭	개인별 통계	미완료	O	2차	2026-03-13	P1	통계 항목 결정
4. 챌린지 방	4.3 멤버 탭	응원/좋아요/댓글 통계	미완료	X	-	-	P2	실무 구현 작업
4. 챌린지 방	4.4 설정	알람 설정	미완료	O	4차	2026-04-10	P2	알람 정책 결정
4. 챌린지 방	4.4 설정	멤버 퇴장 (방장)	미완료	X	-	-	P2	실무 구현 작업
5. 할 일	5.1 진행중 챌린지	진행중 챌린지 목록	부분완료	-	-	-	-	큰 틀 완료
5. 할 일	5.1 진행중 챌린지	챌린지별 진행률	미완료	X	-	-	P2	실무 완성도 작업
5. 할 일	5.2 미션	오늘 미션 목록	부분완료	-	-	-	-	큰 틀 완료
5. 할 일	5.2 미션	미션 완료/미완료 상태	미완료	X	-	-	P2	실무 완성도 작업
5. 할 일	5.3 리그	리더보드	부분완료	-	-	-	-	큰 틀 완료
5. 할 일	5.3 리그	리더보드 세부	미완료	X	-	-	P2	실무 완성도 작업
5. 할 일	5.4 종료된 챌린지	완주/미완주 기록	부분완료	-	-	-	-	큰 틀 완료
5. 할 일	5.4 종료된 챌린지	재시작 유도	미완료	O	4차	2026-04-10	P1	유도 전략 결정
6. 피드/소셜	6.1 피드 탭	지인 인증 피드	완료	-	-	-	-	피드 탭 완료
6. 피드/소셜	6.1 피드 탭	좋아요/댓글/공유	미완료	O	2차	2026-03-13	P1	인터랙션 결정
6. 피드/소셜	6.1 피드 탭	피드 필터	미완료	X	-	-	P2	실무 구현 작업
6. 피드/소셜	6.2 라운지	라운지 메뉴 구성	부분완료	-	-	-	-	메뉴만 완료
6. 피드/소셜	6.2 라운지	라운지 입장 조건	미완료	O	2차	2026-03-13	P0	입장 정책 결정
6. 피드/소셜	6.2 라운지	크리에이터 소통	미완료	O	2차	2026-03-13	P0	소통 방식 결정
6. 피드/소셜	6.2 라운지	참여자 교류	미완료	O	2차	2026-03-13	P1	교류 UX 결정
6. 피드/소셜	6.2 라운지	라운지 공지	미완료	X	-	-	P2	실무 구현 작업
6. 피드/소셜	6.3 친구/팔로잉	친구 목록	미완료	X	-	-	P2	실무 구현 작업
6. 피드/소셜	6.3 친구/팔로잉	팔로잉/팔로워	미완료	X	-	-	P2	실무 구현 작업
6. 피드/소셜	6.3 친구/팔로잉	친구 찾기	미완료	X	-	-	P2	실무 구현 작업
7. 완주/보상	7.1 완주 플로우	완주 판정 기준 표시	미완료	O	4차	2026-04-10	P1	완주 UX 결정
7. 완주/보상	7.1 완주 플로우	완주 축하 메시지	미완료	X	-	-	P2	실무 콘텐츠 작업
7. 완주/보상	7.1 완주 플로우	완주 연출 (애니메이션)	미완료	X	-	-	P2	실무 완성도 작업
7. 완주/보상	7.2 수료증	수료증 발급 화면	미완료	O	4차	2026-04-10	P1	수료증 구조 결정
7. 완주/보상	7.2 수료증	크리에이터 서명	미완료	X	-	-	P2	실무 완성도 작업
7. 완주/보상	7.2 수료증	SNS 공유	미완료	O	4차	2026-04-10	P1	공유 채널 결정
7. 완주/보상	7.3 재참여 유도	다음 챌린지 추천	미완료	O	4차	2026-04-10	P1	추천 로직 결정
7. 완주/보상	7.3 재참여 유도	같은 크리에이터 다음 단계	미완료	X	-	-	P2	실무 구현 작업
8. 프로필	8.1 기본	프로필 이미지/닉네임	미완료	X	-	-	P2	실무 구현 작업
8. 프로필	8.1 기본	활동 통계	미완료	O	4차	2026-04-10	P2	통계 항목 결정
8. 프로필	8.1 기본	레벨/활동점수 표시	미완료	X	-	-	P2	실무 구현 작업
8. 프로필	8.2 피드 히스토리	내 인증 피드 목록	완료	-	-	-	-	간소화 완료
8. 프로필	8.2 피드 히스토리	피드 상세 보기	미완료	X	-	-	P2	실무 완성도 작업
8. 프로필	8.3 업적	획득 배지 목록	부분완료	-	-	-	-	1depth 완료
8. 프로필	8.3 업적	배지 상세/조건	미완료	X	-	-	P2	실무 완성도 작업
8. 프로필	8.3 업적	다음 목표 배지	미완료	X	-	-	P2	실무 완성도 작업
8. 프로필	8.4 챌린지 기록	참여/완주 이력	미완료	O	4차	2026-04-10	P2	기록 구조 결정
8. 프로필	8.4 챌린지 기록	수료증 보관함	미완료	X	-	-	P2	실무 구현 작업
9. 크리에이터	9.1 챌린지 만들기	기본 정보 설정	완료	-	-	-	-	챌린지 만들기 완료
9. 크리에이터	9.1 챌린지 만들기	기간/인원 설정	완료	-	-	-	-	챌린지 만들기 완료
9. 크리에이터	9.1 챌린지 만들기	일일 할 일 설정	완료	-	-	-	-	챌린지 만들기 완료
9. 크리에이터	9.1 챌린지 만들기	카테고리/공개/가격 설정	완료	-	-	-	-	챌린지 만들기 완료
9. 크리에이터	9.1 챌린지 만들기	자동 코칭 미리보기	완료	-	-	-	-	챌린지 만들기 완료
9. 크리에이터	9.1 챌린지 만들기	챌린지 발행/수정	완료	-	-	-	-	챌린지 만들기 완료
9. 크리에이터	9.2 자동 코칭	자동 메시지 템플릿	미완료	O	4차	2026-04-10	P2	템플릿 정책 결정
9. 크리에이터	9.2 자동 코칭	피드 리액션 ON/OFF	미완료	X	-	-	P2	실무 구현 작업
9. 크리에이터	9.2 자동 코칭	발송 조건/트리거	미완료	O	4차	2026-04-10	P2	트리거 정책 결정
9. 크리에이터	9.3 라이브 메시지	라이브 메시지 작성	미완료	X	-	-	P2	실무 구현 작업
9. 크리에이터	9.3 라이브 메시지	발송 대상 선택	미완료	X	-	-	P2	실무 구현 작업
9. 크리에이터	9.3 라이브 메시지	예약 발송	미완료	X	-	-	P2	실무 구현 작업
9. 크리에이터	9.4 대시보드	참여자 현황 모니터링	미완료	O	4차	2026-04-10	P2	대시보드 구조 결정
9. 크리에이터	9.4 대시보드	피드 리액션 편의 UX	미완료	X	-	-	P2	실무 완성도 작업
9. 크리에이터	9.4 대시보드	수익/정산 현황	미완료	O	4차	2026-04-10	P2	정산 정보 결정
10. 알림	10.1 푸시 알림	알림 유형 정의	미완료	O	4차	2026-04-10	P1	알림 정책 결정
10. 알림	10.1 푸시 알림	알림 콘텐츠	미완료	X	-	-	P2	실무 콘텐츠 작업
10. 알림	10.2 인앱 알림	알림 센터 구조	미완료	O	4차	2026-04-10	P2	센터 구조 결정
10. 알림	10.2 인앱 알림	읽음/안읽음 상태	미완료	X	-	-	P2	실무 구현 작업
10. 알림	10.3 알림 설정	카테고리별 ON/OFF	미완료	O	4차	2026-04-10	P2	카테고리 정의
10. 알림	10.3 알림 설정	Quiet Hours 설정	미완료	X	-	-	P2	실무 구현 작업
11. 설정	11.1 앱 설정	설정 메뉴 구조	미완료	O	4차	2026-04-10	P2	메뉴 구조 결정
11. 설정	11.1 앱 설정	개인정보 설정	미완료	X	-	-	P2	실무 구현 작업
11. 설정	11.2 계정 관리	프로필 수정	미완료	X	-	-	P2	실무 구현 작업
11. 설정	11.2 계정 관리	소셜 계정 연결	미완료	X	-	-	P2	실무 구현 작업
11. 설정	11.2 계정 관리	로그아웃/탈퇴	미완료	X	-	-	P2	실무 구현 작업
11. 설정	11.3 결제/구매	결제 수단 관리	미완료	O	3차	2026-03-27	P1	결제 관리 UX
11. 설정	11.3 결제/구매	크레딧 충전	미완료	O	3차	2026-03-27	P1	충전 UX 결정
11. 설정	11.3 결제/구매	결제 내역	미완료	X	-	-	P2	실무 구현 작업
11. 설정	11.3 결제/구매	환불 요청	미완료	O	4차	2026-04-10	P2	환불 UX 결정
11. 설정	11.4 고객 지원	FAQ	미완료	X	-	-	P2	실무 콘텐츠 작업
11. 설정	11.4 고객 지원	문의하기	미완료	X	-	-	P2	실무 구현 작업
12. 게이미피케이션	12.1 연속 인증	연속 인증 보상 정책	미완료	O	4차	2026-04-10	P2	보상 정책 결정
12. 게이미피케이션	12.1 연속 인증	연속 인증 UI	미완료	X	-	-	P2	실무 완성도 작업
12. 게이미피케이션	12.1 연속 인증	연속 인증 보호 (프리즈)	미완료	X	-	-	P2	실무 구현 작업
12. 게이미피케이션	12.2 활동점수	활동점수 획득 정책	미완료	O	4차	2026-04-10	P2	정책 결정
12. 게이미피케이션	12.2 활동점수	레벨업 연출	미완료	X	-	-	P2	실무 완성도 작업
12. 게이미피케이션	12.3 배지	배지 시스템 정책	미완료	O	4차	2026-04-10	P2	배지 정책 결정
12. 게이미피케이션	12.3 배지	배지 획득 연출	미완료	X	-	-	P2	실무 완성도 작업
12. 게이미피케이션	12.3 배지	배지 컬렉션	미완료	X	-	-	P2	실무 구현 작업
12. 게이미피케이션	12.4 리더보드	리더보드 유형 정의	미완료	O	4차	2026-04-10	P2	리더보드 정책
12. 게이미피케이션	12.4 리더보드	리더보드 UI	미완료	X	-	-	P2	실무 구현 작업
